,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,Sentiment,Score
17,gp:AOqpTOE0oGnOKiSGRxUAM0RizYVpWshLAO_vc7PCsyz4bO_FjNs6bi4l8ZRRef1Fwh4q8uCZGitZo39gVeVMbmM,Tabish Khan,https://play-lh.googleusercontent.com/a/AATXAJzEAJwGc6TGJI9JDdhE9vaDpawSGkRPCduutBwa=mo,Katai Badhiya application,5,0,,2022-04-02 02:26:45,,,NEGATIVE,0.9627267718315125
18,gp:AOqpTOElukQMK4A_rYx8v3bFDoG4e64HQt98JYPPdP4dpyTtap9jsPIuB18SZBnz3m6Oli34rj_TA3JQ7ZwEAVE,Manimekalai Kalaivani,https://play-lh.googleusercontent.com/a/AATXAJwGxJxkP3sxAyIDkbc8E5fcZNfyafLSGybgHWdm=mo,Very worst app,1,0,,2022-04-02 02:25:22,,,NEGATIVE,0.9997956156730652
19,gp:AOqpTOEVwe4Pbq1_yXyB0pJORqgk1ZxCXDyjoZQk8cJLDKU7nGmlp0CEK027hxj5AXDHAvpscAK-q_uncF6l3HM,Ananta Panja,https://play-lh.googleusercontent.com/a/AATXAJz7LpIyeQwOqhNwyDYQsSGjO18qiyhnVJziDqLL=mo,R tr ee,4,0,24.2.0.300,2022-04-02 02:16:14,,,NEGATIVE,0.810633659362793
20,gp:AOqpTOHieaBlJvgvo6pApaO14l-8pE9TgRe9ZN0yDl21RAFnXb3TV7e-jAMyPG4UDtD-cHHGf9aE7KAWAjLgsyU,sanket Lakshman,https://play-lh.googleusercontent.com/a-/AOh14GhBT1GJ2B7pJL-D1OY0ydT5hhN_0j-VXpQRih5BWQ,Very bad experience. When ever I go mobile exchange option. It suddenly stop,1,0,24.6.0.300,2022-04-02 02:15:11,,,NEGATIVE,0.9997137188911438
21,gp:AOqpTOHAdkVNl6oXbE9A2acntc63eyXt6aUZff4VQG2wuw2nEk7kee30fXrLG8mxSBNMZ-EpvN4MjOITSYXZs4U,Rabi Mahapatra,https://play-lh.googleusercontent.com/a/AATXAJx7bo6MSYwYl8w4jZ4jNJw443AKFCWawtRxsfIh=mo,I want to buy phone realme 8 8gb in May 15 after my exams soo I request Amazon please keep it on stock. It is my fav so please please keep it on stock,4,0,,2022-04-02 02:14:19,,,NEGATIVE,0.9853480458259583
22,gp:AOqpTOHyi5fw-bUXOnJ7lUBSsMpMDQO9IZgg2Fanr_gFXau2Gi63EMJkfpP6IZPWp3lMloMRlJMj3PAKzKZ1CBs,Sai Charan,https://play-lh.googleusercontent.com/a-/AOh14Ggtde0kYoe5FwLbt-cGIqFAWQGIeD4vKKze-OBIcA,There are no offers on festivals also waste,1,0,24.6.0.300,2022-04-02 02:03:23,,,NEGATIVE,0.9978467226028442
23,gp:AOqpTOG3xuqeTWBEKrXtgp9rPxLOgvf4KbSMLZ3uESBBt6tgfJPAlcrnfbY7O5nduqd1PTmcNiVfLszepCj6smU,Sonali Jana Mandal,https://play-lh.googleusercontent.com/a-/AOh14Gj3wqe4MIlqGS_XnhUFvNoLrh_nBUSexRXdagOf,Awesome 👌 👏,5,0,22.15.2.300,2022-04-02 02:01:23,,,POSITIVE,0.9998297691345215
24,gp:AOqpTOGjJ5Z0Tl0a3nGLvupUpMv6BZo_PyPrmIQb4kq-HmTvM-ceyI9K6pqGne188hrLoCi9prYkloQJtLqPSh8,YT GAMER,https://play-lh.googleusercontent.com/a/AATXAJz2scwF-PLaLqdDGPCKu00gaRq99jvGblP4e3K9=mo,Nice,5,0,,2022-04-02 01:56:40,,,POSITIVE,0.9998552799224854
25,gp:AOqpTOEVqe3c31q5vNtiVVGqhO9kOK5r6TZgwnCWvQaRFcyOHZonRCAkEekM2T49TbHp4A_SsDwhEr0FxGmur-w,Sofiya Sofiya,https://play-lh.googleusercontent.com/a-/AOh14GgCUTq6DaKDDvKTiWKio2TV1OMoo5oCuNR5_OvsEA,Good luck,3,0,22.14.0.300,2022-04-02 01:55:43,,,POSITIVE,0.9998250603675842
26,gp:AOqpTOH-uyJIFEl1eugGtQuROnZJmZF1h5TisBLti_YSGO9hfl_hGfKga4pY4Z3s8I9DAW_Fez6gKXMPMJ0JCA0,Jayadev Mistry,https://play-lh.googleusercontent.com/a-/AOh14GgQblCSJIpEaaobI7YKK7gZ9ZS-xBRONvW10R9q,superb,4,0,22.11.0.300,2022-04-02 01:45:17,,,POSITIVE,0.9998656511306763
27,gp:AOqpTOEEgHdqzw7xpwynpqpQLFOcVUmJ2wAndbnThWI-ish_1b_HQl3dt_7wcDU-BAwuAmAqfFO5hsTN_pozA9U,Debashish Roy,https://play-lh.googleusercontent.com/a/AATXAJzSpo0BevHLF4Kg1XMXLk5A_rEBo1Pr1DRCEkoN=mo,Very good,5,0,,2022-04-02 01:43:52,,,POSITIVE,0.9998520612716675
28,gp:AOqpTOFxPatOhVOruoIGkrpTyqRNTQrjPvkSRv8j-JjQ1Cg8w6frgHpCBXSr1dSwaDq39zzFMa7JTn_Q0QqNVKU,Taiyaba Fatema,https://play-lh.googleusercontent.com/a/AATXAJwp1optLRPSmlMxo4WO2OMgNARWq3Hyqtgkk3ve=mo,Best aap in on line shopping,5,0,24.6.0.300,2022-04-02 01:40:30,,,POSITIVE,0.9996113181114197
29,gp:AOqpTOGvZ3Xb948rE-6tprC-i15jyDUASkE3rH2X_NAtPXiBfjSWNp_ZUyk8eLrEaS4ygPvl7vEZDDvlaKXOA7U,Anubhav Kumar,https://play-lh.googleusercontent.com/a/AATXAJygHQYOK8jO1tLA71Voc7keBhAGgOIkzUthM1Hv=mo,Aa,5,0,20.6.0.300,2022-04-02 01:30:40,,,NEGATIVE,0.9831228852272034
30,gp:AOqpTOH9-ReAzTd9U6t9WTT03Mnm2VjM63dtNX_dqkb3CINnPIdgYhlyCQkGCHAP5ZUpbglHFYcvLhN631mSGko,Md Nafis Alam,https://play-lh.googleusercontent.com/a-/AOh14GiIA3ZMOtCJGd--_gLfPspQc4APpYbIfE9opgeFyJc,Wao,5,0,24.6.0.300,2022-04-02 01:22:46,,,NEGATIVE,0.9708886742591858
31,gp:AOqpTOGsK1karRdZ2vl_Jr2ejs1MswK93We419uKkeBZHOlvZfQENNd1BZVldf-mMjwPUwE8CMskPILAM_dBAbw,Abhishek Tandan,https://play-lh.googleusercontent.com/a-/AOh14GjXcGghuorS6bN9LAyGbMBwApjvS-PevOKsDXOqEg,Cashback jyada nahi dete,4,0,24.4.0.300,2022-04-02 01:20:15,,,NEGATIVE,0.9978259205818176
32,gp:AOqpTOG-fcSNuAzzN-lL0ukjX8H9qYijHVy11Mdm_zKHjsL1G7V9MCuQTsWWHOTfEw29tWloWaomEYkyAxo3lX8,Raj Kumar,https://play-lh.googleusercontent.com/a/AATXAJz7lSRHiQEZQjqqyA6eVj_kqeFEuVQls-mvonZf=mo,Mast,5,0,18.5.2.350,2022-04-02 01:05:08,,,POSITIVE,0.7173458337783813
33,gp:AOqpTOEMLk4G0mjcOLggPCKOktzi7hLqQ7RFNlLV2lN2vjX-0CQu37gpfHPv0ZgplNDwrIGLweBUHZmwKGIUM0k,Prem Baird,https://play-lh.googleusercontent.com/a-/AOh14Gh_bskwr4Ti4DSC2eFDDEsG8D-vaP4XNMkIQH09dA,Good,5,0,24.6.0.300,2022-04-02 00:54:55,,,POSITIVE,0.9998161196708679
34,gp:AOqpTOHES7M7a0uV9CXYerR22ti84KHPfzh6n--Z5OHLhPWFMn6F2WwVfWJgsZMpx5QD6VPmsyOt3hgK67kdG1I,Deepak Kumar,https://play-lh.googleusercontent.com/a-/AOh14Gj_S_L5d4_uOrD8vaoO-w-ztmQ_RSTB5_JJfRJg3w,"Best app for online shop, recharge and bill payment",5,0,24.6.0.300,2022-04-02 00:49:52,,,POSITIVE,0.9991722106933594
35,gp:AOqpTOEF7XIaXJpsCotvZOGe5hv-bRCRVVUHz28hrIvKOyNsNTumhmj0qAc1a0FGJoiFsbWshUW2C4rUTO300_A,NEELAY RAJ,https://play-lh.googleusercontent.com/a-/AOh14Gj-qyqhYExRRjrIL-Mu4XJqoIFjNvO_o3noYp4L,Used to be a good app but after the last update Amazon app has become trash. It works like web pages do in a web browser. Quality of services has also taken a hit. I tried using the chat function in Customer Support section and was instead redirected here to Google Play Store. Developers kindly fix these issues. I will change my rating back to 5 star once your app starts functioning perfectly like before.,2,0,22.14.2.350,2022-04-02 00:41:31,,,NEGATIVE,0.9940658807754517
36,gp:AOqpTOF0Wfjr08KC-kI0_EiT3WlBZ8EsZvEHK1MDojuxtjNNztzf3i5_V7NsPQ2UvElmOPHLp9LlJMj1zdhHSTk,Kapil Sethi,https://play-lh.googleusercontent.com/a/AATXAJzVN4FmdOUdNbc88PB5RXZjVWb8qzlyelqGCVeR=mo,best service,5,0,22.14.0.300,2022-04-02 00:36:22,,,POSITIVE,0.999809205532074
37,gp:AOqpTOFJJJWou72v_wN4H1yoOtle_4Mk6rSVxAf8ay5riAr9ASki3BPQfeWs2XhzOtc70X11IbN5UyypL2tZQ1M,Dashmesh TV,https://play-lh.googleusercontent.com/a-/AOh14Gicgoc8Z2DHP0KfNDUzZ-kJ4Xvw29Rm5LobuGiM,very very good,5,0,24.6.0.300,2022-04-02 00:17:18,,,POSITIVE,0.9998621940612793
38,gp:AOqpTOEJ0niJ8zw52xE9ximmqrEcScCxc52FPNpNsR0u12R5IFFP9_ksYXYqS7YXwwvMtYXrv-1wTFvOM9eEr8s,Akash Desai,https://play-lh.googleusercontent.com/a-/AOh14GjYDisImlGSNYlLlHWeKi4Eb4qC2NyFw4Go179e,Nice,5,0,,2022-04-02 00:05:31,,,POSITIVE,0.9998552799224854
39,gp:AOqpTOGonmyTywmaqaUWebvNyou2yBRrmINbz1VF8vqta31dofh4GSrqtLg03Tnfd8ly6N7sOFMlX9_M1Ha8hkM,Tamal Sen,https://play-lh.googleusercontent.com/a-/AOh14GjWUpwJu8WEOP5qCtzaTSpYXvX-Iny02WWH0rvg8g,worsted experience,1,0,22.14.0.300,2022-04-01 23:08:13,,,NEGATIVE,0.9997429251670837
40,gp:AOqpTOE8eVNT-blvbnb5ERLGIA_tJQM7r3o1iTl3jgxZqo2GjCNNhK4jF4vfHmDHyM2U1AmLH58QqGYdWjIdpIU,Manish Bhai,https://play-lh.googleusercontent.com/a-/AOh14Gg-3pX6FSlCBXI4HnqeYBedy4ZV_ESUEgeKIO-c,Imagine 😘,5,0,24.6.0.300,2022-04-01 22:39:36,,,POSITIVE,0.7584254145622253
41,gp:AOqpTOEBghoBbDBEbMBXycQ03sUloVHS7zL_8Xx_5MDuw0u-EkhIjz1RAtf-Z_WvkiydLf3wuhdZYaeZojRKrM0,Saurav Kushwah,https://play-lh.googleusercontent.com/a-/AOh14GikP0GhYhwmNf7asUa26yJMvJG3ht7lm-yC-PUDXQ,Nice 🙂,1,0,24.5.0.300,2022-04-01 21:50:02,,,POSITIVE,0.9998424053192139
42,gp:AOqpTOGiA_YX6dRdDeYcyAT7cXB5Xi_2cn24UR0nadNTVsleU-T81tId2RDwppkyDmAavt5YaXTGcHl0C0GuNAc,Sujata Sardar,https://play-lh.googleusercontent.com/a-/AOh14Ghn2kAOvv6U0PNpBZCi72huvEY-NDpIIaTK_0Uh,Good app,4,0,18.5.2.350,2022-04-01 21:27:25,,,POSITIVE,0.9998493194580078
43,gp:AOqpTOG-fweL7dQ1yKNAzT1iWiGDkHsqhtLmMoRRXwTMJiWT3wGo73Po4fA0asLcgdTHtbnmX7kWUxWqKcMBctU,Labh Gandhi,https://play-lh.googleusercontent.com/a/AATXAJwngODnXphUbrEIsr3dJLkTJngborf4HQbp2OSf=mo,"When i search amazon mini tv on amazon and click on it, it shows download the app from play store or apple store when i have already downloaded. I insist u to solve the problem as early as possible. Waiting for ur response and eager to watch web series on mini tv",2,1,24.6.0.300,2022-04-01 21:15:30,,,NEGATIVE,0.9964290261268616
44,gp:AOqpTOEbzZSRTJklR146W-B5x-1M1a-A6raOy1pvYc423lnje_HZXBGPr9Gj43hFmzzRwEj3j3UvzCa4EpiVUVc,abhijeet pratap,https://play-lh.googleusercontent.com/a-/AOh14GiBWKEoXFi1HPzZ0shLzi7Oir90zO3YmTC-A9Kx,Amazon please introduce to delete order history.. Girlfriend k liye bhut order kiya hu kl ko wife saadi k Baad divorce le legi order history dekh kr... 😭😭😭😭😭😭😭😭,2,0,24.6.0.300,2022-04-01 21:02:43,,,NEGATIVE,0.9976217150688171
45,gp:AOqpTOHIc3j84o6rjFodArJJkyTuycJgg5Zdi2T-pwezZOEx_Cj9WejDN62ZGb-eSumbXn_umHRc7CgNn2T82u0,Santosh Varma,https://play-lh.googleusercontent.com/a-/AOh14GgAFAFW7SiWZfkSVfPvq5Yv8qoN2nTh33hI50sm,Ok,1,0,20.14.0.300,2022-04-01 20:52:31,,,POSITIVE,0.9997851252555847
46,gp:AOqpTOG9m_UpvdrDrnsqt9yCKDZQ02P6htnsbHl8NlQgpPdVD8khiTO19q3LjVIZtTGzwN1IMsHGXdNJPgyRaGg,Karthik Tcr King,https://play-lh.googleusercontent.com/a-/AOh14Gh_3Ad-0h99V-UY8zLKpPtvObK7HOAenJvpiPOwkQ,nice app,5,0,24.6.0.300,2022-04-01 20:44:28,,,POSITIVE,0.9998061060905457
47,gp:AOqpTOF4hjseSVfdVTtsoPmZUvYpNwdADqdtnJT0ah1X_qh8s2GIYqoZrWmGoFcXt3gkkf_hxB8GEUeQ-BVOwoQ,gagana ammu,https://play-lh.googleusercontent.com/a-/AOh14Ggt9Uun7fFZ4zdZ00UsUHcXk-VRCGbHo0uEW3yexQ,awesome,4,0,24.5.0.300,2022-04-01 20:27:16,,,POSITIVE,0.9998682737350464
48,gp:AOqpTOEzJmgf1PT0d5I-jXA42CN7LT88YZJtyQC2NReM2Ybsu2lTlRoJI1ELZfz-U_OVlkFR7ZPO7RM48jqj4B0,Moses Immanuel,https://play-lh.googleusercontent.com/a/AATXAJx2aZHjmJnUhtdoMbOPM4zMLOAnu-SQUJBV_AFbwSs=mo,"Worst service. After paying prime subscription, still the app doesn't recognize the payment, whereas the amount is deducted from bank. Is there any other app who can replace this stupid Amazon.",1,1,24.6.0.300,2022-04-01 20:23:10,,,NEGATIVE,0.9998132586479187
49,gp:AOqpTOGiBRTQ6NNM-NxdwwMpIBYac2YjEbje1pJq7txb-lR-GrbrDk4RvE_gK2TQNNEBXS4xfq9v3klVHn1A3Uk,POOJA GUPTA,https://play-lh.googleusercontent.com/a-/AOh14Gjv1SeBsIFXfCT9TSKez2KySsUtZcKTeGatqj5mhw,"The new update is not working well, its not letting me checkout.",2,0,22.22.8.300,2022-04-01 20:08:53,,,NEGATIVE,0.9997816681861877
50,gp:AOqpTOFo_jkKjbZk1t-WSBi6YcCIq3tjlQsprUY0jG5_cchH6mT3bHrvO6YsGDCl_i-y2HP4g0jhQh3wZRZ4Vdo,Hemanta Swain,https://play-lh.googleusercontent.com/a/AATXAJwAJlZOI9KPxbbith_L5lCbsJzAfGbQ5x05r5Zr4w=mo,I Love this app It is very good app,2,0,8.9.3.300,2022-04-01 19:56:52,,,POSITIVE,0.9998770952224731
51,gp:AOqpTOExoWRBm2i57t0sNlszVFN00V8Rt5jmlGagURNu9cy4Z62z29nIxvEJ_dPxOXchyaTHzxDAvL-hro4TDLs,Hari Muthyala,https://play-lh.googleusercontent.com/a-/AOh14GgF2o0vA31vuTRUaBFkHA1q2XBL8N07njJpv-uS_A,"Worst app, keeps crashing frequently these days, irritating shopping experience with Amazon from last 6 months",1,0,22.22.7.300,2022-04-01 19:46:39,,,NEGATIVE,0.9997864365577698
52,gp:AOqpTOGW6fRH4tM3GwlEPElwWAQKRrLVUGCRW5iNX_IKbF5bGAJ77Fs4hCh5-c4zmN-G0L2utTBohQKUaypaABU,Diwankar Singh,https://play-lh.googleusercontent.com/a-/AOh14GicHqwvitrd_GEL3VBRv1FgJNMezQrvFU9534pj8A,Dear Amazon India Why can't I change default language to English. It was in english all along but stupid update came and it automatically changed to hindi I have tried like hundred times but it keeps changing back to hindi .,1,0,24.6.0.300,2022-04-01 19:43:07,,,NEGATIVE,0.9959706664085388
53,gp:AOqpTOG2NRSIN2pM0Gn1IXkddKnDD3iav3XIKgf1RYtCb7cpPVB4Vt2zTSa5Q--LbpYbdEHTTnTDfBqX7pqF5jE,RIYAZ SHAIKH,https://play-lh.googleusercontent.com/a-/AOh14Gg1kRZYNBh8GcXkLfcmetbmJL16f3JrGDZZi4Yoyw,good,5,0,24.5.0.300,2022-04-01 19:38:19,,,POSITIVE,0.9998161196708679
54,gp:AOqpTOGQP2LugfsDp25yFLzQaoMLtR2gbCuf9we3L8MoCoFw-sQBEvh8vT2D4Aamr1hVdzDO85Pe5HslmdpJPWA,sanjay kumar,https://play-lh.googleusercontent.com/a-/AOh14GjuXoJPCLBRE6MYp_26mvwjhVp8-gnEeoADwdgt,Nice app,5,0,24.3.0.300,2022-04-01 19:35:54,,,POSITIVE,0.9998061060905457
55,gp:AOqpTOFpS2-PCvb1uTyi7YZEpu9OHvr5ZVQvU1kqE0uzXkh75bOj92MBohV1HcJKqN3oaZHtX_mZK6KMLvtXkEU,Rohan Das,https://play-lh.googleusercontent.com/a/AATXAJwZoC76FIljYiFqq64szIw4MehTGIx-p-K8_ZCP=mo,Worst application ever 😡 the new update is so disappointed everytime I'm opening this app taking me to Chrome and I can not money transfer using it now 😡😡 I'm so disappointed please fix this as soon as possible,1,0,22.14.2.350,2022-04-01 19:33:28,,,NEGATIVE,0.99962317943573
56,gp:AOqpTOE7pAJSB0PS3HeFvcJ5cowDlgrHSg8CJN-6a9HJVkwWrCDXakrzhnU0i0KoYE4N2GE9AOj5c5ooeAttddE,Mr Åťāñű,https://play-lh.googleusercontent.com/a/AATXAJzItBRKHYWcM5zP2hRCVwEbv3f7nTWEtvEUbT7r=mo,Please bring web series Crushed Season 2 soon,5,1,24.6.0.300,2022-04-01 19:18:23,,,NEGATIVE,0.9845572710037231
57,gp:AOqpTOFD24-ldc6oFKAbx7KUZNQL0zQ_67rDwiuztFBS2y1nz45wrsc8ss2XJyjbb83xf0yDr4Lo2HMcNMMzW6Q,ashvin Bambhaniya,https://play-lh.googleusercontent.com/a/AATXAJzjq54yzML5oG_zZm-uE3SzlGukVq0M1tcJP3uO=mo,nice,5,0,16.20.0.300,2022-04-01 19:16:38,,,POSITIVE,0.9998552799224854
58,gp:AOqpTOHuUZ4_Fpvv7DCGo7LKx6dm4Wf1CkmOG4wJOOEv0givdRXuxuwr9l3LoUpyeYJPf5NrRF-V2Y5UTSxycxU,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Delivery partner is very irresponsible and not delivered the product on promised date and time.,1,0,24.6.0.300,2022-04-01 19:07:30,"Hello, the cash on delivery of products depends on serviceability of pincodes and the courier availability. We'll surely take these comments as a feedback and work on it.

- Amazon Customer Service.",2017-04-28 16:50:27,NEGATIVE,0.9991372227668762
59,gp:AOqpTOERftcn1J-G_je8Uq9qPnt95M5YZ8fQY45HIsEfx7gAVins1x1vUtDYoFvSytAnpBZ3oAdHjub-5OvVJqM,Hiralal Kalyankar,https://play-lh.googleusercontent.com/a-/AOh14GiOUTwUpkI7NnqaOwJQQwmwD5Fana8LHGvBK2f-vQ,MY fab.,5,0,,2022-04-01 18:58:56,,,POSITIVE,0.9953179359436035
60,gp:AOqpTOFZQjo0F-pXSe-ASnZTI0gBImHckBibCQ7VCrYuuND6-gJseBWaHhAOWiGknwUmyanmciX8UlLa2YrVWeg,manish ghone,https://play-lh.googleusercontent.com/a-/AOh14GgcSuBAfnM-IyL75PK-j6_BTyICV6Yxrc2EOjIl8ow,Very very Pathatic experience i had received. If they had option below 1 rating i am ready to put that also.,1,0,24.6.0.300,2022-04-01 18:58:31,,,NEGATIVE,0.9682048559188843
